Location,Perm team #,1997 #,Team Name,
,,,,
"Rochester Hills, MI",1,1,"3-Dimensional Services & Oakland Technical Center, Northeast Campus (OTC-NE)",
"Monroe, WI",3,130,"Scott B. Patterson, DDS, MS /Green County Engineers & Monroe Senior High School",
"Hopkins, MN",6,4,"Alliant Techsystems, Inc. & Washburn High School ",
"Baltimore, MD",7,5,Allied Signal & Parkville High School,
"Moffett Field, CA ",8,85,NASA Ames Research Center & Palo Alto High School,
"Flanders, NJ",11,8,BASF & Mt. Olive High School,
"Bath, ME",12,9,Bath Iron Works Corporation & Bath Reg. Vocational Center      ,
"Round Lake, IL",13,13,Baxter Healthcare Corporation / Northwestern University & Johnsburg High School,
"St. Petersburg, FL",14,10,Baxter Healthcare Corporation & Lakewood High School Center for Advanced Technologies,
"Anasco, PR",15,12,Baxter Healthcare Corporation / Municipio de Anasco & Luis Munoz Marin High School / Raul Ibarra High School,
"Mountain Home, AR",16,11,Baxter Healthcare Corporation & Mountain Home High School,
"Bedford, NH",18,29,Bedford Community & McKelvie Middle School   ,
"Troy, NY",20,102,NYNEX / Rensselaer & Shenendehowa High School,
"Canoga Park, CA",22,123,"Rocketdyne Division, Boeing North American, Inc. / NMB, Inc. / Fadal Engineering / AVG Corporation / DWA Composite Specialties / California State University & Chatsworth High School ",
"Plymouth, MA ",23,17,Boston Edison Company / University of Massachusetts Dartmouth & Plymouth North High School,
"Spencer, IN",24,18,Boston Scientific Corporation & Edgewood High School        ,
"North Brunswick, NJ",25,19,Bristol-Meyers Squibb / Rutgers University & North Brunswick Township High School,
"Derry, NH",26,20,"Brooks Family / Poly Vac, Inc. & Pinkerton Academy",
"Clarkston, MI",27,21,"Budd Company, The & Oakland Science, Mathematics & Technology Academy (OSMTech)",
"Sag Harbor, NY",28,112,Symbol Technologies & Pierson High School,
"Jenks, OK",31,22,Central & South West Services / Public Service Company of Oklahoma & Jenks High School,
"Auburn Hills, MI",33,23,Chrysler Corporation & Avondale High School,
"Huntsville, AL",34,24,Chrysler Corporation - Huntsville Electronics & Bob Jones High School,
"Whitehall, MI",35,117,Process Control Automation & Montague High School ,
"Merrimack, NH",36,25,"Codem Systems, Inc. & Derryfield School",
"Coral Gables, FL",37,143,University of Miami & MAST Academy,
"Warren, NJ",41,26,Cordis Corporation / Johnson & Johnson & Watchung Hills Regional High School,
"Nashua, NH",42,27,Daniel Webster College / Brookfield Rapid Solutions / Highland Tool / Lockheed-Martin Commercial Electronics / Premier Industries & Alvirne High School,
"Mason, MI",43,28,Dart Container Corporation & Mason High School,
"Ames, IA",44,30,Deere & Company / Iowa State University & Ames High School,
"Kokomo, IN",45,31,Delco Electronics Corporation & Kokomo High School,
"Troy, MI",47,32,Delphi Interior and Lighting Systems & Pontiac Central High School,
"Rochester, NY",52,36,Eastman Kodak Company & Fairport High School,
"Garland, TX",55,39,Environmental Testing Laboratory & Austin Academy   ,
"Somerville, NJ",56,41,Ethicon & Bound Brook High School,
"Gorham, ME",58,93,National Semiconductor & South Portland High School     ,
"Miami, FL",59,42,Florida International University & Miami Coral Park Senior High School ,
"Kingman, AZ",60,43,Ford Motor Company / Mohave Generating Station & Kingman High School,
"Upton, MA ",61,44,"Foster Miller Corporation / EMC2 Corporation / Allegro MicroSystems, Inc. & Blackstone Valley Regional Vocational Technical High School ",
"Plaistow, NH",62,129,Circuit Board Express / Scandia Plastics & Timberlane Regional High School     ,
"Erie, PA",63,49,GPU Energy & McDowell Senior High School,
"Pontiac, MI ",65,46,General Motors Powertrain Group & Pontiac North High School,
