District,State Country,Location,Team #,Related team #'s,Most Recent Yr,Rookie Year,Lat/Lon,Accurate Coord,school name,Name,Notes,,,,,,
MI,MI,"Pontiac, MI ",1,A140,2017,1997,"42.668528,-83.263931",1,"Oakland Technical Center, Northeast Campus",The Chrysler Foundation/BAE Systems/Hirotec & Oakland Schools Technical Campus--Ne,,,,,,,
,TX,"Pasadena, TX ",2,231,1998,1998,"29.710627,-95.211645",1,Pasadena Independent School District,ADA Manufacturing and Engineering / Pasadena Independent School District / University of Houston (University Park) & Clearlake Council of Technical Societies,,,,,,,
,WI,"Monroe, WI ",3,A141,1998,1997,"42.586653,-89.639857",1,Broadhead HS & Monroe Senior HS,Advance Transformer Company & Broadhead HS & Monroe Senior HS,,,,,,,
0,CA,"Van Nuys, CA ",4,22,2017,2006,"34.186654,-118.50593",1,HighTech-LA High School,Lockheed Martin/Cooler Master/Sawing Services/Gibbs CAM/SolidWorks/Boston Scientific/WAAG/Full Scale Effects/Raytheon&High Tech La,,,,,,,
MI,MI,"Allen Park, MI ",5,,2008,1998,"42.278306,-83.18687",1,Melvindale High School ,Ford FIRST Robotics & Melvindale High School,,,,,,,
,MN,"Hopkins, MN ",6,"A42,2239,2549",2003,1994,"44.957753,-93.412693",1,Hopkins High School & Washburn High School ,ATK (Alliant Techsystems) & Hopkins High School,,,,,,,
0,MD,"Baltimore, MD ",7,A142,2012,1997,"39.387551,-76.538707",1,Parkville High School ,"Lockheed Martin/Northrop Grumman/Oak Harbor Marina/US Army/jcpenney/US Army Aberdeen Test Center/Moffatt & Nichol/Baltimore Area Alliance/Mr.Brookman & Parkville High School and Center for Mathematics, Science, and Computer Science",,,,,,,
0,CA,"Palo Alto, CA ",8,A125,2017,1996,"37.437384,-122.157712",1,Palo Alto High School ,Google/Apple/Brin Wojcicki Foundation/NVIDIA/Intuitive Surgical /Webcor Builders/Landec/Hassett hardware/Kirk's Steakburgers/Dropbox&Palo Alto High,,,,,,,
0,IL,"Chicago, IL ",9,,2008,1998,"41.964756,-87.714144",1,Roosevelt High School ,Roosevelt High School,,,,,,,
,MN,"St. Louis Park, MN ",10,,2002,1998,"44.959738,-93.370219",1,Benilde -St. Margaret's School,Banner Engineering Corporation & Benilde -St. Margaret's School ,,,,,,,
MAR,NJ,"Flanders, NJ ",11,A143,2017,1997,"40.858454121085415, -74.7144341468811",1,Mt. Olive High School ,Siemens/John & Margaret Post Foundation/National Defense Education Program/Givaudan/BAE Systems/ASCO/Chameleon Designs/Mt. Olive School District/Prevision Systems & Mt Olive High,,,,,,,
,ME,"Bath, ME ",12,A95,1998,1996,"43.913067,-69.819827",1,Bath Reg. Vocational Center,Bath Iron Works Corporation & Bath Reg. Vocational Center     ,,,,,,,
,IL,"Round Lake, IL ",13,A122,1998,1996,"42.404685,-88.234368",1,Johnsburg High School,Baxter Healthcare Corporation / Northwestern University & Johnsburg High School,,,,,,,
,FL,"St. Petersburg, FL ",14,"A72, 312",1998,1995,"27.717559,-82.652499",1,Lakewood High School,Baxter Healthcare Corporation & Lakewood High School Center for Advanced Technologies,,,,,,,
,PR,"San German, PR ",15,A144,2000,1997,"18.08108,-67.038918",0,Lola Rodriguez De Tio High School & Laura Mercado High School & San German InterAmerican High School ,Baxter Fenwal San German & Lola Rodriguez De Tio High School & Laura Mercado High School & San German InterAmerican High School ,,,,,,,
0,AR,"Mountain Home, AR ",16,A110,2017,1996,"36.330912,-92.394068",1,Mountain Home High School ,Baxter Healthcare Corporation&Mtn Home High Career Academics,,,,,,,
,NJ,"East Rutherford, NJ ",17,,1998,1998,"40.832147,-74.093145",1,Beacon Regional HS,Becton Dickinson and Company & Beacon Regional HS,,,,,,,
,NH,"Bedford, NH ",18,"A145,305,509",1998,1997,"42.937164,-71.504401",1,McKelvie Middle School ,Bedford Community & McKelvie Middle School   ,,,,,,,
,CT,"Greenwich, CT ",19,,2005,1998,"41.03976,-73.613377",1,Eagle Hill-Greenwich High School ,Greenwich High School,,,,,,,
0,NY,"Clifton Park, NY ",20,"A10,250",2017,1992,"42.868675,-73.80852",1,Shenendehowa High School,Global Foundries - Town of Malta Foundation/Bechtel Corporation/GE/BAE SYSTEMS/Advanced Manufacturing Techniques Inc./NYSTAR and the Center for Automation Technologies and Systems at Rensselaer Polytechnic Institute&Shenendehowa High School,,,,,,,
0,FL,"Kennedy Space Center, FL ",21,,2017,1998,"28.6274,-80.850611",1,Astronaut High School & Titusville High School ,The Boeing Company/SGT/Planet Fitness of Daytona/School Board of Brevard County/East Coast Machine/NASA GSDO/Indian River Technology llc/Florida Power & Light/State of Florida&Astronaut High School&Titusville High School,,,,,,,
,CA,"Chatsworth, CA ",22,"A146,4",2006,1997,"34.253602,-118.586333",1,Chatsworth High School ,Chatsworth High School,,,,,,,
NE,MA,"Plymouth, MA ",23,A66,2013,1995,"41.942263,-70.650561",1,Plymouth North High School,Entergy Corporation/Raytheon & Plymouth North High School,,,,,,,
,IN,"Ellettsville, IN ",24,A147,1999,1997,"39.23412,-86.638127",1,Edgewood High School     ,Boston Scientific Corporation & Edgewood High School        ,,,,,,,
MAR,NJ,"North Brunswick, NJ ",25,A148,2017,1997,"40.452785,-74.468406",1,North Brunswick Township High School ,Bristol-Myers Squibb Co./Picatinny Arsenal. US Dept of Defense/Abbe Lumber/CIMA/North Brunswick Public Schools/Raider Robotix Parent and Mentor Organization & North Brunswick Twp High,,,,,,,
,NH,"Derry, NH ",26,"A124,241",1998,1996,"42.89535,-71.316376",1,Pinkerton Academy,"Brooks Family / Poly Vac, Inc. & Pinkerton Academy",,,,,,,
