Year,Location,,Eventual #,Name
1992,"Hampton, NH",A2,,University of New Hampshire & Winnacunnet Regional High School  
1992,"Ipswich, MA",A3,,SMC Pneumatics Inc. & Ipswich High School
1992,"Boston, MA",A4,,New England Telephone Company & Don Bosco Technical High School  
1992,"Keene, NH",A5,213,Markem Corporation & Keene High School  
1992,"Nashua, NH",A6,151,Ferrofluidics & Nashua High School  
1992,"Framingham, MA",A7,157,Bose Corporation & Framingham High School  
1992,"Kokomo, IN",A8,45,Delco Electronics Corporation & Kokomo High School  
1992,"Clinton, MA",A9,126,NYPRO Inc. & Clinton High School
1992,"Clifton Park, NY",A10,20,Rensselaer Polytechnic Institute & Shenendehowa High School  
1992,"Worcester, MA",A11,190,Worcester Polytechnic Institute & Doherty High School  
1992,"Rochester, NY",A12,191,Xerox Corporation & Joseph C. Wilson Magnet High School  
1992,"Boston, MA",A13,125,Massachusetts Institute of Technology & Boston Latin High School  
1992,"Mesquite, TX",A14,,E-Systems Inc. & Dallas Christian School
1992,"Renton, WA",A15,3588,Boeing Corporation & Lindbergh High School  
1992,"Rochester, VT",A16,,Advanced Animations & Rochester High School  
1992,"Allentown, PA",A17,,Air Products & Chemicals Inc. & Dieruff High School
1992,"Pittsburgh, PA",A18,,Alcoa & Plum High School  
1992,"Piscataway, NJ ",A19,224,AT&T & Piscataway High School  
1992,"Chicago, IL",A20,"681, 2047",Baxter Healthcare Corporation & Whitney Young High School  
1992,"Chesterland, OH",A21,,Case Western Reserve University & West Geauga High School  
1992,"Hartford, CT",A22,181,GE Elfun Society & Hartford Public High School  
1992,"Cambridge, MA",A23,97,Harvard University & Cambridge Rindge & Latin High School  
1992,"Bedford, NY",A24,760,IBM Thomas J. Watson Research Center & Fox Lane High School  
1992,"San Diego, CA",A25,,IMED Corporation & University City High School  
1992,"Manchester, NH",A26,146,Manchester Kiwanis & Manchester West High School  
1992,"Wheeling, IL",A27,111,Motorola Inc. & Wheeling High School
1992,"Manchester, NH",A28,131,New Hampshire Technical College/General Electric Aircraft Engines & Manchester Central High School
1992,"Manchester, NH",A29,99,Raytheon Corporation & Memorial High School  
,,,,
1993,"Murray Hill, NJ",A30,,AT&T Bell Laboratories & Newark High School 
1993,"McGaw Park, IL",A31,,Baxter Healthcare Corporation & Warren High School 
1993,"Providence, RI",A32,,Brown University & Moses Brown High School 
1993,"Rochester, NY",A33,73,Eastman Kodak Company & Edison Technical School  
1993,"Dearborn, MI",A34,184,Ford Motor Company & Fordson High School  
1993,"Milford, NH",A35,266,Hitchiner Manufacturing Company & Milford High School  
1993,"Minneapolis, MN",A36,2479,"Honeywell, Inc. & North Community High School "
1993,"Nashua, NH",A37,811,Ingersoll-Rand Company/Ferrofluidics Corporation & Bishop Guertin High School 
1993,"Hoboken, NJ",A38,,Stevens Institute of Technology & Columbia High School 
1993,"Sherman, TX",A39,129,"Texas Instruments, Inc. & Sherman High School "
1993,"Sherman, TX",A40,,"Texas Instruments, Inc. & Denison High School  "
,,,,
1994,"Kingston, Jamaica  ",A41,,Advanced Integrated Systems Ltd. / University of the West Indies & Jamaica College  
1994,"Hopkins, MN ",A42,6,"Alliant Techsystems, Inc. & Washburn High School   "
1994,"Mukilteo, WA  ",A43,83,Alliant Techsystems - Marine Systems & Kamiak High School  
1994,"Murray Hill, NJ  ",A44,,AT&T Bell Laboratories / AT&T Global Information Solutions / NCR Microelectronic Products & Harrison High School  
1994,"Seattle, WA  ",A45,,"The Boeing Company, Commercial Airplane Group & Bellevue High School  "
1994,"Greenville, TX ",A46,148,"E-Systems, Inc. & Greenville High School   "
1994,"Phoenix, AZ",A47,80,Honeywell Space and Aviation Control & Cortez High School    
1994,"Freeport, IL",A48,81,Honeywell's MICRO SWITCH Division & Freeport High School / Aquin High School    
1994,"Hampstead, NH  ",A49,90,"Johnson & Johnston Associates / Astro Precision Machine, Inc. / Brooks Automation & Salem Vocational High School  "
1994,"Englewood, NJ ",A50,,"Mann-Horton & Associates, Inc. / K. Albert Associates / Stevens Institute of Technology & Dwight Morrow High School   "
1994,"Bedford, MA ",A51,2621,MITRE Corporation / Hanscom Air Force Base & Bedford High School   
1994,"Cleveland, OH ",A52,,NASA Lewis Research Center & Cuyahoga County Schools  
1994,"Schofield, WI  ",A53,,"Navi Dowty & Associates, Inc. & D.C. Everest High School  "
1994,"Hartford, CT  ",A54,500,Northeast Utilities Company / U.S. Coast Guard Academy & New London High School / Waterford High School  
1994,"White Plains, NY",A55,,NYNEX Corporation & Newburgh Free Academy    
1994,"White Plains, NY ",A56,,NYNEX Corporation & Somerville High School   
1994,"White Plains, NY ",A57,,"NYNEX Corporation / R.G. Vanderweil Engineers, MIT-Lincoln Laboratories & St. Bernard's Central Catholic High School  "
1994,"Cincinnati, OH ",A58,,Procter & Gamble Company & Aiken High School   
1994,"Cincinnati, OH ",A59,144,Procter & Gamble Company & Walnut Hills High School   
1994,"Dallas, TX  ",A60,98,Southern Methodist University & St. Mark's School of Texas  
1994,"New Britain, CT ",A61,155,Stanley Works / Stanley Access Technologies / Stanley Hardware & Berlin High School   
1994,"Manchester, NH ",A62,36,Summa Four & Derryfield High School   
1994,"Miami, FL",A63,"239,1461",Symbiosis Corporation & Miami Springs High School    
,,,,
1995,"Laconia, NH",A65,,"Aavid Engineering, Inc. & Gilford HS"
1995,"Plymouth, MA",A66,23,Boston Edison Company & Plymouth North HS
1995,"Syracuse, NY",A67,,Carrier Corporation & Canastota HS 
1995,"Nashua, NH",A68,42,Daniel Webster College/Lockheed Commercial Electronics Corp & Alvirne HS 
1995,"Mason, MI",A69,43,Dart Container Corporation & Mason Public HS
1995,"Pawcatuck, CT",A70,,Davis-Standard Division & Stonington HS
1995,"Cranston, RI",A71,,"Davol Inc., Subsidiary of C.R. Bard, Inc. & Central HS/Times2 "
1995,"St. Petersburg, FL",A72,14,E-Systems-ECI Division & Lakewood HS  
1995,"Upton, MA",A73,61,EMC/Foster Miller & Blackstone Valley Regional Vocational Technical HS/Milford HS
1995,"Nashua, NH",A74,166,Ferrofluidics Corporation/Hampshire Chemical Corporation & Merrimack HS 
1995,"Boca Raton/Ft. Lauderdale, FL",A75,108,Florida Atlantic University/Huron Machine Products & Dillard Computer/High Tech Magnet School 
1995,"Miami, FL",A76,37,Florida International University & Mast Academy
1995,"Fitchburg, MA",A77,562,G.E. Elfun Society @ General Electric Co. & Fitchburg HS/Montachusett Regional Technical School 
1995,"Holland, MI",A78,74,"Haworth, Inc. & Holland Public Schools"
1995,"South Windsor, CT",A79,177,International Fuel Cells & South Windsor HS
1995,"New Orleans, LA",A80,,Martin Marietta Corporation/Northwestern State University & Louisiana School for Math Science & the Arts
1995,"Cleveland, OH",A81,120,NASA Lewis Research Center & East Technical HS
1995,"Philadelphia, PA",A82,,PATHS/PRISM & Strawberry Mansion Middle/Sr. High 
1995,"Holland, MI",A83,141,Prince Corporation & West Ottawa HS
1995,"Menlo Park, CA",A84,100,Raychem Corporation & Woodside HS
1995,"Dallas, TX",A85,55,"Texas Instruments, Inc. & Austin Academy for Excellence"
1995,"Troy, MI",A86,161,Textron Automotive Company & Cass Technical HS
1995,"Providence/Newport, RI",A87,,TIMES2/Naval Undersea Warfare Center Div. Newport & Rogers HS
1995,"Albuquerque, NM",A88,,U.S. Naval Academy Alumni/Sandia National Laboratories & Cibola HS 
1995,"East Hartford, CT",A89,173,United Technologies Research Center & Bulkeley HS/Hartford Public HS
1995,"Charlotte, NC",A90,72,University of North Carolina at Charlotte & Harding University HS
1995,"Fort Worth, TX",A91,110,University of Texas at Arlington & Richland HS
1995,"Platteville, WI",A92,171,Wisconsin Power and Light & Platteville HS
,,,,
1996,"Alton, NH",A93,319,O.S.D. & Alton High School
1996,"Auburn Hills, MI",A94,33,Chrysler Corporation & Avondale High School
1996,"Bath, ME",A95,12,Bath Iron Works/Wright Pierce Engineers & Bath Regional Vocational Center/Morse High School
1996,"Dallas, TX",A96,,Texas Instruments & Gunter High School
1996,"Bridgewater, NJ",A97,153,"Visual Inspection Technologies, Inc./Rutgers University & Somerset County Vocational & Technical School "
1996,"Fort Worth, TX",A98,,University of Texas at Arlington - Engineering Division/Automation & Robotics Research Institute/Bell Helicopter Textron/Rainwater Foundation & Bluebonnet Applied Learning Academy
1996,"Ft. Worth, TX",A99,,Azle High School
1996,"Garland, TX",A100,,Regal Research/Karlee Company/A&A Manufacturing & Garland High School
1996,"Hammond, IN",A101,71,Beatty Machine and Manufacturing & Clark/Gavit/Hammond/Morton High School 
1996,"Hillsboro, NH",A102,130,"Osram Sylvania, Inc. & Hillsboro Deering High School"
1996,"Hillsborough, NJ",A103,,"Ethicon, Inc. & Hillsborough High School"
1996,"Hollis, NH",A104,138,Parker-Hannafin & Souhegan High School
1996,"Jacksonville, FL",A105,,"H.K. Smith Charitable Fund/Amu Pro, Inc./Jacksonville Electric Authority & Stanton College Preparatory School"
1996,"Laconia, NH",A106,,New Hampshire Ball Bearing & Laconia High School
1996,"Lowell, MA",A107,140,University of Massachusetts Lowell & Tyngsboro Junior and Senior High Schools
1996,"Milford, OH",A108,158,Structural Dynamics Research Corp. & Great Oaks/Live Oaks Campus 
1996,"Moscow, ID",A109,,University of Idaho & Moscow Senior and Junior High Schools
1996,"Mountain Home, AR",A110,16,Baxter Healthcare & Mountain Home High School
1996,"New Britain, CT",A111,,"Stanley Hardware/Stanley Manufacturing/Sherwood Tools/Camm, Inc./Automotive Controls Corporation/Canberra & Berlin High School"
1996,"New Orleans, LA",A112,,Lockheed Martin Manned Space Systems/University of New Orleans & Benjamin Franklin High School
1996,"Newport, RI",A113,121,Naval Undersea Warfare Center & Middletown High School 
1996,"Plainville, CT",A114,,"General Electric Corporation/IMO Industries, Inc. - Gems Sensors Division/Northeast Utilities/Elizabeth H. Norton Trust/Plainville Board of Education & Middle School of Plainville"
1996,"Portland, ME",A115,172,UNUM/Corning Co-Star/Nichols Portland & Kennebunk High School/Gorham High School/Old Orchard Beach High School 
1996,"Pullman, WA",A116,,"Washington State University/Schweitzer Engineering Laboratories, Inc. & Pullman High School"
1996,"Quincy, MA",A117,69,NYNEX & Quincy Public Schools
1996,"Raynham, MA",A118,88,"Johnson & Johnson Professional, Inc. & Bridgewater-Raynham Regional High School"
1996,"Reston, VA",A119,116,NASA Headquarters/America On Line/University of Maryland Space Systems Laboratory & South Lakes High School
1996,"Rochester Hills, MI",A120,,3-Dimensional Services & Brandon High School 
1996,"Rochester, NY",A121,200,West Irondequoit High School
1996,"Round Lake, IL",A122,13,Baxter Healthcare Corporation & Johnsburg High School
1996,"Sag Harbor, NY",A123,28,Eco Sales/Degraphics/Hertz Rent-A-Car & Pierson Middle & High School 
1996,"Salem, NH",A124,26,"Hadco Corporation/PolyVac, Inc. & Pinkerton Academy"
1996,"Santa Clara, CA",A125,8,Applied Materials & Palo Alto High School 
,,,,
1996,"Simsbury, CT",A126,,Ensign-Bickford Company/Peter Shapiro & Associates & Simsbury High School 
1996,"South Portland, ME",A127,58,National Semiconductor & South Portland High School
1996,"St. Louis, MO",A128,,Emerson Electric Company & Cardinal Ritter College Preparatory High School/Normandy High School
1996,"St. Louis, MO",A129,,McDonnell Douglas Corp. & Mary Institute and St. Louis Country Day School
1996,"Troy/Pontiac, MI",A130,47,Delphi Interior & Lighting & Pontiac Central High School
1996,"Waterford, CT",A131,124,Northeast Utilities Company/U.S. Coast Guard Academy & Montville High School/Williams School
1996,"Wichita Falls, TX",A132,,Delphi Energy & Engine Management & Rider High School/Witchita Falls High School/Hirschi High School/Carrigan Center
1996,"Wilmington, MA",A133,214,Textron Systems Division & Wilmington High School
1996,"Windsor Locks, CT",A134,176,Hamilton Standard & Windsor Locks High School
1996,"Windsor Locks/Enfield, CT",A135,175,Hamilton Standard Space Systems Intl. & Enrico Fermi High School
1996,"Worcester, MA",A136,105,Massachusetts Electric/New England Electric & Bay Path Regional Vocational Technical High School
1996,"Zeeland, MI",A137,85,"Drawform, Inc. & Zeeland High School"
1996,"Libertyville, IL ",A138,109,Arial Systems Corporation & Libertyville High School & Vernon Hills HS
,,,,
1997,"Rochester Hills, MI",A140,1,"3-Dimensional Services & Oakland Technical Center, Northeast Campus (OTC-NE)"
1997,"Monroe, WI",A141,3,"Scott B. Patterson, DDS, MS /Green County Engineers & Monroe Senior High School"
1997,"Baltimore, MD",A142,7,Allied Signal & Parkville High School
1997,"Flanders, NJ",A143,11,BASF & Mt. Olive High School
1997,"Anasco, PR",A144,15,Baxter Healthcare Corporation / Municipio de Anasco & Luis Munoz Marin High School / Raul Ibarra High School
1997,"Bedford, NH",A145,18,Bedford Community & McKelvie Middle School   
