"","region","year","pct_retained"
"1","ALL",2005,86.283185840708
"2","ALL",2006,90.8914728682171
"3","ALL",2007,91.4406779661017
"4","ALL",2008,92.0058139534884
"5","ALL",2009,91.4893617021277
"6","ALL",2010,91.2186379928315
"7","ALL",2011,91.9895287958115
"8","ALL",2012,91.1805879608026
"9","ALL",2013,92.7510917030568
"10","ALL",2014,91.1397670549085
"11","ALL",2015,92.9845422116528
"12","ALL",2016,86.5363334562892
"13","AL",2005,50
"14","AL",2006,85.7142857142857
"15","AL",2007,25
"16","AL",2008,100
"17","AL",2009,100
"18","AL",2010,88.8888888888889
"19","AL",2011,80
"20","AL",2012,81.8181818181818
"21","AL",2013,90
"22","AL",2014,75
"23","AL",2015,100
"24","AL",2016,84.6153846153846
"25","AK",2005,0
"26","AK",2006,0
"27","AK",2007,100
"28","AK",2008,100
"29","AK",2009,100
"30","AK",2010,100
"31","AK",2011,50
"32","AK",2012,100
"33","AK",2013,100
"34","AK",2014,0
"35","AK",2015,100
"36","AK",2016,100
"37","AS",2005,NA
"38","AS",2006,NA
"39","AS",2007,NA
"40","AS",2008,NA
"41","AS",2009,NA
"42","AS",2010,NA
"43","AS",2011,NA
"44","AS",2012,NA
"45","AS",2013,NA
"46","AS",2014,NA
"47","AS",2015,NA
"48","AS",2016,NA
"49","AZ",2005,88.2352941176471
"50","AZ",2006,87.5
"51","AZ",2007,96.2962962962963
"52","AZ",2008,89.4736842105263
"53","AZ",2009,83.7837837837838
"54","AZ",2010,87.1794871794872
"55","AZ",2011,83.7837837837838
"56","AZ",2012,97.7272727272727
"57","AZ",2013,88.6363636363636
"58","AZ",2014,90
"59","AZ",2015,94.2307692307692
"60","AZ",2016,87.2727272727273
"61","AR",2005,100
"62","AR",2006,0
"63","AR",2007,100
"64","AR",2008,100
"65","AR",2009,100
"66","AR",2010,100
"67","AR",2011,100
"68","AR",2012,85.7142857142857
"69","AR",2013,93.75
"70","AR",2014,38.4615384615385
"71","AR",2015,88.8888888888889
"72","AR",2016,66.6666666666667
"73","CA",2005,84.7619047619048
"74","CA",2006,90.9090909090909
"75","CA",2007,90.3225806451613
"76","CA",2008,90.1408450704225
"77","CA",2009,87.5862068965517
"78","CA",2010,91.5032679738562
"79","CA",2011,93.7142857142857
"80","CA",2012,89.7435897435898
"81","CA",2013,92.9245283018868
"82","CA",2014,93.9655172413793
"83","CA",2015,90.3361344537815
"84","CA",2016,88.5185185185185
"85","CO",2005,86.3636363636364
"86","CO",2006,82.6086956521739
"87","CO",2007,96.969696969697
"88","CO",2008,86.2068965517241
"89","CO",2009,96.969696969697
"90","CO",2010,94.2857142857143
"91","CO",2011,85.7142857142857
"92","CO",2012,95
"93","CO",2013,92.6829268292683
"94","CO",2014,89.7435897435898
"95","CO",2015,80
"96","CO",2016,81.25
"97","CT",2005,93.1034482758621
"98","CT",2006,96.6666666666667
"99","CT",2007,90.625
"100","CT",2008,96.7741935483871
"101","CT",2009,93.9393939393939
"102","CT",2010,97.2972972972973
"103","CT",2011,92.8571428571429
"104","CT",2012,95.1219512195122
"105","CT",2013,100
